Info 0    [22:58:41.572] Starting TS Server
Info 89   [23:00:01.158] getCompletionData: Get previous token 1: 0.04416400194168091
Info 90   [23:00:01.158] getCompletionData: Get previous token 2: 0.03609800338745117
Info 91   [23:00:01.158] getCompletionsAtPosition: isCompletionListBlocker: 0.02445600926876068
Info 92   [23:00:01.162] collectAutoImports: starting, not resolving module specifiers
Info 93   [23:00:01.162] collectAutoImports: module specifier cache size: 239
Info 94   [23:00:01.163] getSymbolToExportInfoMap: cache hit
Info 95   [23:00:01.179] collectAutoImports: done in 17.7555940002203 ms
Info 96   [23:00:01.179] getCompletionData: Semantic work: 20.887023001909256
Info 97   [23:00:01.202] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 22.159040987491608
Info 98   [23:00:01.209] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [23:00:01.228] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 18.66218200325966ms
Info 100  [23:00:01.228] Different program with same set of files:: structureIsReused:: 2
Info 101  [23:00:01.228] getCompletionData: Get current token: 0.008675992488861084
Info 102  [23:00:01.228] getCompletionData: Is inside comment: 0.004167988896369934
Info 103  [23:00:01.228] getCompletionData: Get previous token 1: 0.05090600252151489
Info 104  [23:00:01.228] getCompletionData: Get previous token 2: 0.035927996039390564
Info 105  [23:00:01.228] getCompletionsAtPosition: isCompletionListBlocker: 0.020258009433746338
Info 106  [23:00:01.232] collectAutoImports: starting, not resolving module specifiers
Info 107  [23:00:01.232] collectAutoImports: module specifier cache size: 239
Info 108  [23:00:01.236] getSymbolToExportInfoMap: cache hit
Info 109  [23:00:01.242] collectAutoImports: done in 9.636273995041847 ms
Info 110  [23:00:01.242] getCompletionData: Semantic work: 13.528481006622314
Info 111  [23:00:01.254] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.751295998692513
Info 112  [23:00:01.421] getCompletionData: Get current token: 0.03792199492454529
Info 113  [23:00:01.421] getCompletionData: Is inside comment: 0.011501997709274292
Info 114  [23:00:01.421] getCompletionData: Get previous token 1: 0.1324400007724762
Info 115  [23:00:01.421] getCompletionData: Get previous token 2: 0.10686199367046356
Info 116  [23:00:01.422] getCompletionsAtPosition: isCompletionListBlocker: 0.053902000188827515
Info 117  [23:00:01.428] collectAutoImports: starting, not resolving module specifiers
Info 118  [23:00:01.428] collectAutoImports: module specifier cache size: 239
Info 119  [23:00:01.435] getSymbolToExportInfoMap: cache hit
Info 120  [23:00:01.448] collectAutoImports: done in 19.44733700156212 ms
Info 121  [23:00:01.448] getCompletionData: Semantic work: 26.119339004158974
Info 122  [23:00:01.461] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.275062009692192
Info 123  [23:00:01.467] getCompletionData: Get current token: 0.025077998638153076
Info 124  [23:00:01.467] getCompletionData: Is inside comment: 0.007082998752593994
Info 125  [23:00:01.467] getCompletionData: Get previous token 1: 0.06375099718570709
Info 126  [23:00:01.467] getCompletionData: Get previous token 2: 0.0522489994764328
Info 127  [23:00:01.467] getCompletionsAtPosition: isCompletionListBlocker: 0.026920989155769348
Info 128  [23:00:01.470] collectAutoImports: starting, not resolving module specifiers
Info 129  [23:00:01.470] collectAutoImports: module specifier cache size: 239
Info 130  [23:00:01.474] getSymbolToExportInfoMap: cache hit
Info 131  [23:00:01.483] collectAutoImports: done in 12.891455993056297 ms
Info 132  [23:00:01.483] getCompletionData: Semantic work: 16.021200999617577
Info 133  [23:00:01.494] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.806659013032913
Info 134  [23:00:01.499] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 135  [23:00:01.519] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 19.33670899271965ms
Info 136  [23:00:01.519] Different program with same set of files:: structureIsReused:: 2
Info 137  [23:00:01.519] getCompletionData: Get current token: 0.01351599395275116
Info 138  [23:00:01.520] getCompletionData: Is inside comment: 0.005410000681877136
Info 139  [23:00:01.520] getCompletionData: Get previous token 1: 0.08553199470043182
Info 140  [23:00:01.520] getCompletionsAtPosition: isCompletionListBlocker: 0.004648000001907349
Info 141  [23:00:01.522] getCompletionData: Semantic work: 2.5802139937877655
Info 142  [23:00:01.527] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.5749109983444214
Info 143  [23:00:02.039] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 144  [23:00:02.083] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 44.3014300018549ms
Info 145  [23:00:02.083] Different program with same set of files:: structureIsReused:: 2
Info 146  [23:00:02.647] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 147  [23:00:02.678] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 30.316122993826866ms
Info 148  [23:00:02.678] Different program with same set of files:: structureIsReused:: 2
Info 149  [23:00:02.819] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [23:00:02.856] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 37.02555599808693ms
Info 151  [23:00:02.856] Different program with same set of files:: structureIsReused:: 2
Info 152  [23:00:02.857] getCompletionData: Get current token: 0.0908219963312149
Info 153  [23:00:02.857] getCompletionData: Is inside comment: 0.024746999144554138
Info 154  [23:00:02.858] getCompletionData: Get previous token 1: 0.18301700055599213
Info 155  [23:00:02.858] getCompletionsAtPosition: isCompletionListBlocker: 0.008976995944976807
Info 156  [23:00:02.862] getCompletionData: Semantic work: 3.6797969937324524
Info 157  [23:00:02.894] getCompletionData: Get current token: 0.0347059965133667
Info 158  [23:00:02.894] getCompletionData: Is inside comment: 0.015409007668495178
Info 159  [23:00:02.894] getCompletionData: Get previous token 1: 0.09677299857139587
Info 160  [23:00:02.894] getCompletionsAtPosition: isCompletionListBlocker: 0.0056100040674209595
Info 161  [23:00:02.895] getCompletionData: Semantic work: 0.7453309893608093
Info 162  [23:00:03.319] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 163  [23:00:03.347] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 27.719237998127937ms
Info 164  [23:00:03.347] Different program with same set of files:: structureIsReused:: 2
Info 165  [23:00:04.051] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [23:00:04.082] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 31.113673999905586ms
Info 167  [23:00:04.082] Different program with same set of files:: structureIsReused:: 2
Info 168  [23:00:04.083] getCompletionData: Get current token: 0.02939601242542267
Info 169  [23:00:04.083] getCompletionData: Is inside comment: 0.011521995067596436
Info 170  [23:00:04.084] getCompletionData: Get previous token 1: 0.1778860092163086
Info 171  [23:00:04.084] getCompletionData: Get previous token 2: 0.16535399854183197
Info 172  [23:00:04.084] getCompletionsAtPosition: isCompletionListBlocker: 0.011450991034507751
Info 173  [23:00:04.087] getCompletionData: Semantic work: 3.290699005126953
Info 174  [23:00:04.098] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.991306006908417
Info 175  [23:00:04.719] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 176  [23:00:04.757] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 37.11601799726486ms
Info 177  [23:00:04.757] Different program with same set of files:: structureIsReused:: 2
Info 178  [23:00:04.814] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 179  [23:00:04.831] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 16.76350699365139ms
Info 180  [23:00:04.831] Different program with same set of files:: structureIsReused:: 2
Info 181  [23:00:05.084] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 182  [23:00:05.111] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 26.651345998048782ms
Info 183  [23:00:05.111] Different program with same set of files:: structureIsReused:: 2
Info 184  [23:00:05.127] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 185  [23:00:05.171] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 44.29348599910736ms
Info 186  [23:00:05.171] Different program with same set of files:: structureIsReused:: 2
Info 187  [23:00:05.182] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 188  [23:00:05.199] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 17.340297996997833ms
Info 189  [23:00:05.199] Different program with same set of files:: structureIsReused:: 2
Info 190  [23:00:05.712] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 191  [23:00:05.752] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 39.312705993652344ms
Info 192  [23:00:05.752] Different program with same set of files:: structureIsReused:: 2
Info 193  [23:00:07.263] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 194  [23:00:07.291] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 27.757259994745255ms
Info 195  [23:00:07.291] Different program with same set of files:: structureIsReused:: 2
Info 196  [23:00:07.306] getCompletionData: Get current token: 0.028985008597373962
Info 197  [23:00:07.306] getCompletionData: Is inside comment: 0.010490000247955322
Info 198  [23:00:07.306] getCompletionData: Get previous token 1: 0.1415579915046692
Info 199  [23:00:07.306] getCompletionsAtPosition: isCompletionListBlocker: 0.02576899528503418
Info 200  [23:00:07.306] Returning an empty list because completion was requested in an invalid position.
Info 201  [23:00:07.314] getCompletionData: Get current token: 0.028182998299598694
Info 202  [23:00:07.314] getCompletionData: Is inside comment: 0.010279998183250427
Info 203  [23:00:07.315] getCompletionData: Get previous token 1: 0.18857699632644653
Info 204  [23:00:07.315] getCompletionsAtPosition: isCompletionListBlocker: 0.027382001280784607
Info 205  [23:00:07.315] Returning an empty list because completion was requested in an invalid position.
Info 206  [23:00:07.316] getCompletionData: Get current token: 0.025077998638153076
Info 207  [23:00:07.316] getCompletionData: Is inside comment: 0.008786007761955261
Info 208  [23:00:07.316] getCompletionData: Get previous token 1: 0.1296050101518631
Info 209  [23:00:07.316] getCompletionsAtPosition: isCompletionListBlocker: 0.015971004962921143
Info 210  [23:00:07.316] Returning an empty list because completion was requested in an invalid position.
Info 211  [23:00:07.418] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 212  [23:00:07.456] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 37.51978398859501ms
Info 213  [23:00:07.456] Different program with same set of files:: structureIsReused:: 2
Info 214  [23:00:08.181] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 215  [23:00:08.204] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 22.357136994600296ms
Info 216  [23:00:08.204] Different program with same set of files:: structureIsReused:: 2
Info 217  [23:00:19.244] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 218  [23:00:19.280] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 35.8170589953661ms
Info 219  [23:00:19.280] Different program with same set of files:: structureIsReused:: 2
Info 220  [23:00:19.281] getCompletionData: Get current token: 0.029545992612838745
Info 221  [23:00:19.281] getCompletionData: Is inside comment: 0.009649008512496948
Info 222  [23:00:19.281] getCompletionData: Get previous token 1: 0.1272609978914261
Info 223  [23:00:19.281] getCompletionData: Get previous token 2: 0.11466699838638306
Info 224  [23:00:19.282] getCompletionsAtPosition: isCompletionListBlocker: 0.04219000041484833
Info 225  [23:00:19.287] collectAutoImports: starting, not resolving module specifiers
Info 226  [23:00:19.287] collectAutoImports: module specifier cache size: 239
Info 227  [23:00:19.306] getSymbolToExportInfoMap: cache hit
Info 228  [23:00:19.329] collectAutoImports: done in 42.53975500166416 ms
Info 229  [23:00:19.329] getCompletionData: Semantic work: 47.63045400381088
Info 230  [23:00:19.344] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.284643992781639
Info 231  [23:00:19.496] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 232  [23:00:19.525] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 28.889122992753983ms
Info 233  [23:00:19.525] Different program with same set of files:: structureIsReused:: 2
Info 234  [23:00:19.526] getCompletionData: Get current token: 0.02963601052761078
Info 235  [23:00:19.526] getCompletionData: Is inside comment: 0.010009005665779114
Info 236  [23:00:19.526] getCompletionData: Get previous token 1: 0.14758999645709991
Info 237  [23:00:19.526] getCompletionsAtPosition: isCompletionListBlocker: 0.007995009422302246
Info 238  [23:00:19.529] getCompletionData: Semantic work: 2.5605569928884506
Info 239  [23:00:19.531] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.613655000925064
Info 240  [23:00:20.031] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 241  [23:00:20.076] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 44.99658699333668ms
Info 242  [23:00:20.076] Different program with same set of files:: structureIsReused:: 2
Info 243  [23:00:20.084] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 244  [23:00:20.116] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 32.37705700099468ms
Info 245  [23:00:20.117] Different program with same set of files:: structureIsReused:: 2
Info 246  [23:00:20.328] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 247  [23:00:20.364] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 36.49764700233936ms
Info 248  [23:00:20.364] Different program with same set of files:: structureIsReused:: 2
Info 249  [23:00:20.365] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 250  [23:00:20.397] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 32.10852700471878ms
Info 251  [23:00:20.397] Different program with same set of files:: structureIsReused:: 2
Info 252  [23:00:20.647] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 253  [23:00:20.674] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 27.30265900492668ms
Info 254  [23:00:20.674] Different program with same set of files:: structureIsReused:: 2
Info 255  [23:00:21.472] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 256  [23:00:21.502] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 29.74159701168537ms
Info 257  [23:00:21.502] Different program with same set of files:: structureIsReused:: 2
Info 258  [23:00:21.544] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 259  [23:00:21.564] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 20.630567997694016ms
Info 260  [23:00:21.564] Different program with same set of files:: structureIsReused:: 2
Info 261  [23:00:21.796] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 262  [23:00:21.818] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 22.301700994372368ms
Info 263  [23:00:21.818] Different program with same set of files:: structureIsReused:: 2
Info 264  [23:00:21.925] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 265  [23:00:21.958] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 32.15132801234722ms
Info 266  [23:00:21.958] Different program with same set of files:: structureIsReused:: 2
Info 267  [23:00:22.014] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 268  [23:00:22.036] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 22.307012006640434ms
Info 269  [23:00:22.036] Different program with same set of files:: structureIsReused:: 2
Info 270  [23:00:22.086] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 271  [23:00:22.104] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 17.68638400733471ms
Info 272  [23:00:22.104] Different program with same set of files:: structureIsReused:: 2
Info 273  [23:00:22.238] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 274  [23:00:22.266] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 26.91498500108719ms
Info 275  [23:00:22.266] Different program with same set of files:: structureIsReused:: 2
Info 276  [23:00:22.277] getCompletionData: Get current token: 0.02638000249862671
Info 277  [23:00:22.278] getCompletionData: Is inside comment: 0.00922800600528717
Info 278  [23:00:22.278] getCompletionData: Get previous token 1: 0.11038899421691895
Info 279  [23:00:22.278] getCompletionsAtPosition: isCompletionListBlocker: 0.1405559927225113
Info 280  [23:00:22.289] collectAutoImports: starting, not resolving module specifiers
Info 281  [23:00:22.289] collectAutoImports: module specifier cache size: 239
Info 282  [23:00:22.295] getSymbolToExportInfoMap: cache hit
Info 283  [23:00:22.359] collectAutoImports: done in 70.08122798800468 ms
Info 284  [23:00:22.359] getCompletionData: Semantic work: 81.02674899995327
Info 285  [23:00:22.386] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 26.976190000772476
Info 286  [23:00:22.431] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 287  [23:00:22.442] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 10.59876500070095ms
Info 288  [23:00:22.442] Different program with same set of files:: structureIsReused:: 2
Info 289  [23:00:23.095] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 290  [23:00:23.121] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 25.791717991232872ms
Info 291  [23:00:23.121] Different program with same set of files:: structureIsReused:: 2
Info 292  [23:00:23.543] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 293  [23:00:23.570] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false Elapsed: 26.860182002186775ms
Info 294  [23:00:23.570] Different program with same set of files:: structureIsReused:: 2
Info 295  [23:00:23.617] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 296  [23:00:23.641] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false Elapsed: 24.558093011379242ms
Info 297  [23:00:23.641] Different program with same set of files:: structureIsReused:: 2
Info 298  [23:00:24.624] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 299  [23:00:24.651] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false Elapsed: 27.3418840020895ms
Info 300  [23:00:24.651] Different program with same set of files:: structureIsReused:: 2
Info 301  [23:00:24.660] getCompletionData: Get current token: 0.03154000639915466
Info 302  [23:00:24.660] getCompletionData: Is inside comment: 0.012233003973960876
Info 303  [23:00:24.660] getCompletionData: Get previous token 1: 0.0932060033082962
Info 304  [23:00:24.660] getCompletionsAtPosition: isCompletionListBlocker: 0.01573900878429413
Info 305  [23:00:24.660] Returning an empty list because completion was requested in an invalid position.
Info 306  [23:00:25.315] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 307  [23:00:25.344] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false Elapsed: 28.805505007505417ms
Info 308  [23:00:25.344] Different program with same set of files:: structureIsReused:: 2
Info 309  [23:00:25.759] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 310  [23:00:25.785] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false Elapsed: 26.400611996650696ms
Info 311  [23:00:25.785] Different program with same set of files:: structureIsReused:: 2
Info 312  [23:00:25.805] getCompletionData: Get current token: 0.04293099045753479
Info 313  [23:00:25.805] getCompletionData: Is inside comment: 0.013135001063346863
Info 314  [23:00:25.806] getCompletionData: Get previous token 1: 0.12537699937820435
Info 315  [23:00:25.806] getCompletionData: Get previous token 2: 0.11651000380516052
Info 316  [23:00:25.806] getCompletionsAtPosition: isCompletionListBlocker: 0.05003499984741211
